#Position (bp)	mapping quality
842194.5	17.187964191162035
2725536.5	21.811922795317795
4520500.0	20.820980954817475
6403842.0	21.032469894729417
9416710.5	21.66829788390911
1.31833945E7	18.732609356800157
1.6393447E7	20.077533230188997
1.8255894E7	24.01539465187662
1.88125255E7	20.143510825211052
2.0669924E7	21.02578511080091
2.2553266E7	22.302618440031065
2.29768995E7	19.5458243224623
2.48251945E7	22.961860591335046
2.63317415E7	23.396574670012
2.82501305E7	19.356661846238694
3.20168145E7	22.608952062897632
3.57834985E7	20.274848786656698
3.89217675E7	20.888070781500097
4.07121995E7	20.693139916415713
4.13406145E7	22.050656910830586
4.33168665E7	20.587747352473457
4.52151615E7	26.542993718468146
4.70985035E7	21.40654781580923
4.987304E7	19.132306732091326
5.1756382E7	21.993355348431084
5.46169185E7	20.61023156274221
5.83836025E7	21.501356991129484
6.14113315E7	22.961925835605687
6.32946735E7	20.39512960278323
6.45308265E7	21.6535042090884
6.64141685E7	22.45601025555077
6.83876605E7	23.06796659430703
7.02710025E7	15.863947065826675
7.18346735E7	18.399108742523655
7.37180155E7	22.966514992187154
7.72170225E7	21.778183132849932
7.9187025E7	18.719554593269038
8.00616935E7	21.832715315410944
8.1858375E7	21.941146363061563
8.4359141E7	22.276686261859076
8.6242483E7	20.197876283675498
8.85170745E7	21.182730483160984
9.22837585E7	21.309560815735207
9.60504425E7	21.688946985212933
9.98171265E7	22.722212567479392
1.035838105E8	21.33647275255092
1.07116429E8	22.413301135451178
1.08999771E8	28.45115716719365
1.111171785E8	21.811028598215383
1.148838625E8	20.952310943394
1.186505465E8	21.18138515864819
1.224172305E8	21.708523305039023
1.261839145E8	22.333994327751984
1.29561981E8	17.605510203586288
1.313743185E8	20.848775794113028
1.31762936E8	9.557731150112756
1.33429936E8	20.767436791976237
1.35313278E8	22.855364935455324
1.374839665E8	21.70853174123722
1.40900476E8	23.895364820321056
1.42783818E8	22.252274078855027
1.450173345E8	22.85510438771208
1.487840185E8	21.954637281647766
1.525507025E8	22.16996805432093
1.563173865E8	23.01842983754739
1.600840705E8	20.296620143838645
1.638507545E8	23.63208381651388
1.676174385E8	21.67579173173419
1.70006712E8	22.95511816635505
1.71890054E8	22.429197760200367
1.751508065E8	17.867293518837428
1.77177396E8	22.505798233684732
1.79060738E8	22.80069965204824
1.826841745E8	20.833232518699532
1.864508585E8	22.277504288676962
1.886392405E8	22.627473571251336
1.905225825E8	22.385197602669678
1.939842265E8	21.597722381405443
1.977509105E8	20.82143198931512
2.015175945E8	20.483754659088515
2.052842785E8	23.79427377989775
2.08575645E8	24.54777321504885
2.10458987E8	21.121780225211047
2.128176465E8	21.263216416142736
2.14985376E8	16.74232332243037
