#Read position (bp)	Clipping profile
0.0	0.890389631384257
1.0	0.8893684025201729
2.0	0.8821445473693325
3.0	0.8727661861839869
4.0	0.8617853981794208
5.0	0.8499944678820932
6.0	0.8412292197408738
7.0	0.832051828605071
8.0	0.822359444969369
9.0	0.8123542481153693
10.0	0.802181885725909
11.0	0.7932512535071733
12.0	0.7840890965359724
13.0	0.7744783684544063
14.0	0.764945840978236
15.0	0.7554153432844508
16.0	0.7467259636582273
17.0	0.7376934320450798
18.0	0.7287389714767502
19.0	0.7238502082123887
20.0	0.7197658541852224
21.0	0.7166106654349239
22.0	0.7134411170539231
23.0	0.7102238687868754
24.0	0.706997378531947
25.0	0.7039915731278109
26.0	0.7014185324435527
27.0	0.6987724627802945
28.0	0.6960507945199107
29.0	0.6934472531163037
30.0	0.6908869525555256
31.0	0.688726691872025
32.0	0.6868239544302609
33.0	0.6847469148245443
34.0	0.683074795211201
35.0	0.6815031498259141
36.0	0.6796346811569687
37.0	0.6779331944793321
38.0	0.6765688244250387
39.0	0.674805915236827
40.0	0.673388025867202
41.0	0.6723956134349557
42.0	0.671230280818253
43.0	0.6700434627390711
44.0	0.6687112560982078
45.0	0.6674441104608118
46.0	0.6665511033818553
47.0	0.665330513178736
48.0	0.6643645526977833
49.0	0.6632493384312458
50.0	0.6622359263886868
51.0	0.6615863096517757
52.0	0.6609557923033699
53.0	0.6601633134360438
54.0	0.6595399003259856
55.0	0.6588610352886441
56.0	0.6583348357987685
57.0	0.6578818596287593
58.0	0.6572558337137162
59.0	0.6566629645098658
60.0	0.6560735394580411
61.0	0.6556438841920297
62.0	0.6550413087415619
63.0	0.6544650124949506
64.0	0.6539689898229792
65.0	0.6536754919274834
66.0	0.6534048506772482
67.0	0.6530858833315069
68.0	0.6531592901955253
69.0	0.6528825056145611
70.0	0.6526816543288817
71.0	0.6523003035649467
72.0	0.6518577138345885
73.0	0.6511415461475656
74.0	0.6506617185478147
75.0	0.6501581813623332
76.0	0.6496190582048255
77.0	0.6491186520666398
78.0	0.648790496716592
79.0	0.6484668543933363
80.0	0.647957152283696
81.0	0.6477446945295918
82.0	0.6473840086778103
83.0	0.6470185938649403
84.0	0.6464238676261421
85.0	0.6460018348407892
86.0	0.645550942436739
87.0	0.6449781983093015
88.0	0.6443745000004931
89.0	0.6437036893124026
90.0	0.6430149776711511
91.0	0.6421673275911268
92.0	0.6416135316981874
93.0	0.6409874194094257
94.0	0.6403434601510769
95.0	0.6396812328512633
96.0	0.6388077354359752
97.0	0.6378643076988387
98.0	0.6369641747881051
99.0	0.6359242352172487
100.0	0.6348513116826366
101.0	0.6338738742938369
102.0	0.6327058101082863
103.0	0.631549093270005
104.0	0.6304231146787983
105.0	0.6291563793165653
106.0	0.6279133427433483
107.0	0.6265205341422356
108.0	0.6252504086115511
109.0	0.623814445541328
110.0	0.6223416116900161
111.0	0.621074422865761
112.0	0.6195384390295038
113.0	0.6179240926371286
114.0	0.6162872782812261
115.0	0.6146396240236507
116.0	0.6129581652519935
117.0	0.6113120981114957
118.0	0.6096117990724886
119.0	0.6079643499524947
120.0	0.6063372958267839
121.0	0.6048673339016123
122.0	0.6031533338315067
123.0	0.6014159912639738
124.0	0.5994604686834856
125.0	0.597499979614183
126.0	0.5957856556426329
127.0	0.5938975153592969
128.0	0.5920509532247086
129.0	0.590084202060814
130.0	0.5880181319173482
131.0	0.5862750239041047
132.0	0.5845065867979083
133.0	0.5853588578718728
134.0	0.5859816447724718
135.0	0.5863241813466515
136.0	0.5869877798292464
137.0	0.5875479133937817
138.0	0.5878928900255092
139.0	0.5880742316475202
140.0	0.5879614491645763
141.0	0.5887651458185937
142.0	0.5892430839932522
143.0	0.5892492165272663
144.0	0.5889974047476663
145.0	0.5880823831672045
146.0	0.5887775620406296
147.0	0.5890271820871225
148.0	0.5885843440323234
149.0	0.5866524014769883
150.0	0.5813024997262185
