#Position (bp)	insert size	chromosomes
842194.5	46.69136733743039	0.0
2725536.5	41.781297379250596	217.56436420722136
4520500.0	48.46187502848549	0.0
6403842.0	48.614316770186335	0.0
9416710.5	43.58122284624351	217.56436420722136
1.31833945E7	44.136552823795625	0.0
1.6393447E7	52.73617956250455	0.0
1.8255894E7	44.25584572744662	217.56436420722136
1.88125255E7	56.505179768433884	0.0
2.0669924E7	43.87988623390938	0.0
2.2553266E7	41.56422018348624	217.56436420722136
2.29768995E7	53.99369861870384	0.0
2.48251945E7	46.073508697593994	0.0
2.63317415E7	47.03154084798346	217.56436420722136
2.82501305E7	45.77290331527284	0.0
3.20168145E7	48.30471500855381	0.0
3.57834985E7	46.91485182261768	217.56436420722136
3.89217675E7	44.04135045264347	0.0
4.07121995E7	43.07177330895795	0.0
4.13406145E7	38.92338709677419	217.56436420722136
4.33168665E7	47.3709351687755	0.0
4.52151615E7	56.435215946843854	0.0
4.70985035E7	48.15769083700618	217.56436420722136
4.987304E7	52.09144153070436	0.0
5.1756382E7	42.55150809269448	0.0
5.46169185E7	51.91877625957702	217.56436420722136
5.83836025E7	44.603147775349605	0.0
6.14113315E7	43.51675962228726	0.0
6.32946735E7	48.667471609450466	217.56436420722136
6.45308265E7	46.8016485673165	0.0
6.64141685E7	50.71149377807611	0.0
6.83876605E7	51.779465713479446	217.56436420722136
7.02710025E7	61.70670627690808	0.0
7.18346735E7	38.4416	0.0
7.37180155E7	46.87579022348856	217.56436420722136
7.72170225E7	48.59110295803715	0.0
7.9187025E7	55.18307278944797	0.0
8.00616935E7	59.79458390986361	217.56436420722136
8.1858375E7	44.33590449607725	0.0
8.4359141E7	42.53142480275532	0.0
8.6242483E7	45.93390246396074	217.56436420722136
8.85170745E7	49.74186623070981	0.0
9.22837585E7	48.848107211672115	0.0
9.60504425E7	45.94177560907723	217.56436420722136
9.98171265E7	46.327577870757786	0.0
1.035838105E8	46.32516766394924	0.0
